,URL from https://github.com/search?q=android%2C+health,Description,,,,,,,,,,,,,,,,,,,
68,https://github.com/Ethanator/MobileHealth,"Data are collected from Google Glass, Moto 360, and Android phone to offer a glimpse into the user's daily activity. ",,,,,,,,,,,,,,,,,,,
69,https://github.com/ogasimli/HealthBarView,Custom health bar like view for Android ,,,,,,,,,,,,,,,,,,,
70,https://github.com/mpatel136/LifePulse,Android Health App ,,,,,,,,,,,,,,,,,,,
71,https://github.com/justiceamoh/AsthmaGuard,Android App for Dartmouth COSC 169: Mobile Health ,,,,,,,,,,,,,,,,,,,
72,https://github.com/beto4812/AirQueue-Android,Air Quality Visualizations and health tracking android application. ,,,,,,,,,,,,,,,,,,,
73,https://github.com/norim13/rios-mais-ldso,Website and Android app for river health monitoring and maintenance ,,,,,,,,,,,,,,,,,,,
74,https://github.com/chennanni/diabetes-control-app,an android app to manage users' health data ,,,,,,,,,,,,,,,,,,,
75,https://github.com/m2y-team/HealthOwl,Android appication for healthcare providers to manage patient data ,,,,,,,,,,,,,,,,,,,
76,https://github.com/medhelpintl/android_hapi_sdk,Medhelp's hAPI health data platform for Android ,,,,,,,,,,,,,,,,,,,
77,https://github.com/CMPUT301F18T21/DoctorPlzSaveMe,An Android app for keeping track of health issues ,,,,,,,,,,,,,,,,,,,
78,https://github.com/sydneymainga/Health,firebase android ,,,,,,,,,,,,,,,,,,,
79,https://github.com/Vktor93/health,android app ,,,,,,,,,,,,,,,,,,,
80,https://github.com/eliajada/CapstoneHealth,Fitness Tracker Android App ,,,,,,,,,,,,,,,,,,,
81,https://github.com/kevm66/4thYearProject_Happy,Happy - Mental Health Android App ,,,,,,,,,,,,,,,,,,,
82,https://github.com/shvmshukla/Healthify-NearByHospitals-,"An android application which uses google map api and helps us to find nearby hospitals. Also, it displays detailed information about those hospitals(viz no of doctors,no of beds, contact no etc.) ",,,,,,,,,,,,,,,,,,,
83,https://github.com/Maktm/TALK,Android based application for tracking your mental health ,,,,,,,,,,,,,,,,,,,
84,https://github.com/rr016/HealthOut,Android app that allows users to input health metrics; this data is used to compare and graph the user's progress toward's his/her goals. ,,,,,,,,,,,,,,,,,,,
85,https://github.com/SEUNAKINTOLA/HealthMonitor,"HealthMonitor android app was built for a final year project that involves automatic monitoring of a patient's health, hereby bringing mobile inteligence to health system",,,,,,,,,,,,,,,,,,,
86,https://github.com/alagrin/4tastic-health,Android app leveraging the Knox SDK as well as internal Android APIs to gather data for medical electronic visit verification ,,,,,,,,,,,,,,,,,,,
87,https://github.com/simonaMarkova/HealthQuest-android,android ,,,,,,,,,,,,,,,,,,,
88,https://github.com/brunocascio/nodequery-android,An unofficial android native app for https://nodequery.com/,,,,,,,,,,,,,,,,,,,
89,https://github.com/JANGYONGSEONG/healthNotes,android application,,,,,,,,,,,,,,,,,,,
90,https://github.com/aiwac-health-group/HealthRobot,Android project ,,,,,,,,,,,,,,,,,,,
91,https://github.com/tarsd/HealthGuru,Android App ,,,,,,,,,,,,,,,,,,,
92,https://github.com/pryv/app-android-iHealth,Android app that connects iHealth devices' data to your Pryv ,,,,,,,,,,,,,,,,,,,
93,https://github.com/sha3rawi33/Sehhetna,"Am writing about ""OUR"" achievement of winning the 2nd place in ""E-sus Mobile Applications Competition"" in which, competitors creates Mobile applications and research ideas for solving the ""SDGs"" sustainable development goals of the UN. Our team's submitted application was named after me ""Healthy Wealthy""; we worked on the Public Health. The appl?",,,,,,,,,,,,,,,,,,,
94,https://github.com/w771854332/health_android,health_android ,,,,,,,,,,,,,,,,,,,
95,https://github.com/pauloXtr3m/DroidHealth,Android application made in order to help people being healthy following simple advices. ,,,,,,,,,,,,,,,,,,,
96,https://github.com/mohamedelhadi123/HealthCare1,Framework Android ,,,,,,,,,,,,,,,,,,,
97,https://github.com/Merdzhanov/HealthyApp,Android calorie counter ,,,,,,,,,,,,,,,,,,,
98,https://github.com/Alphacoder221/HealthApp-AyurVeda,Android HealthApp ,,,,,,,,,,,,,,,,,,,
99,https://github.com/KiraSensei13/HealthyGrill,HealthyGrill Android Mobile Application ,,,,,,,,,,,,,,,,,,,
100,https://github.com/AnkitKiet/HealthCare,Android app with Firebase ,,,,,,,,,,,,,,,,,,,
101,https://github.com/SRatna/HealthyNepali,Android health related application ,,,,,,,,,,,,,,,,,,,
102,https://github.com/qinzhig/HealthManager,Android Application for Healthcare ,,,,,,,,,,,,,,,,,,,
103,https://github.com/ShizuoZ/RUPacer,A health android app using pedometer to count daily and weekly steps. Users can log in via Facebook Account and compete with friends in Leaderboard. ,,,,,,,,,,,,,,,,,,,
